iter	Passed	Remaining
0	61	61343
1	65	32659
2	68	22915
3	72	18167
4	76	15168
5	79	13200
6	83	11806
7	87	10828
8	90	10005
9	94	9336
10	98	8836
11	101	8368
12	105	8018
13	109	7702
14	113	7437
15	116	7185
16	121	7003
17	124	6792
18	128	6626
19	131	6457
20	135	6312
21	139	6197
22	144	6117
23	148	6036
24	152	5961
25	156	5866
26	160	5773
27	164	5695
28	167	5624
29	171	5544
30	175	5473
31	179	5421
32	182	5354
33	186	5311
34	191	5281
35	195	5222
36	199	5181
37	204	5169
38	208	5139
39	212	5093
40	216	5059
41	219	5016
42	222	4954
43	225	4910
44	229	4865
45	232	4821
46	237	4816
47	241	4796
48	246	4777
49	249	4749
50	253	4723
51	257	4687
52	260	4659
53	263	4621
54	267	4588
55	270	4561
56	274	4534
57	278	4516
58	282	4500
59	286	4488
60	289	4458
61	293	4439
62	296	4414
63	300	4394
64	304	4375
65	307	4353
66	311	4335
67	314	4310
68	317	4283
69	320	4256
70	323	4237
71	328	4227
72	330	4201
73	334	4189
74	338	4169
75	341	4152
76	345	4137
77	348	4119
78	352	4111
79	356	4094
80	359	4084
81	363	4069
82	367	4061
83	370	4044
84	374	4031
85	377	4009
86	380	3988
87	383	3977
88	386	3957
89	389	3937
90	393	3933
91	397	3922
92	401	3918
93	404	3902
94	407	3881
95	410	3867
96	413	3851
97	417	3842
98	420	3828
99	424	3818
100	427	3806
101	430	3792
102	433	3777
103	437	3765
104	439	3749
105	443	3740
106	447	3731
107	450	3724
108	454	3716
109	458	3707
110	461	3697
111	465	3690
112	469	3681
113	471	3666
114	475	3660
115	479	3650
116	482	3638
117	485	3631
118	489	3624
119	493	3616
120	496	3606
121	500	3600
122	503	3586
123	506	3574
124	509	3566
125	512	3557
126	516	3547
127	519	3538
128	522	3530
129	526	3520
130	528	3508
131	532	3503
132	536	3494
133	538	3482
134	541	3471
135	544	3459
136	548	3452
137	551	3443
138	554	3432
139	557	3427
140	561	3419
141	564	3410
142	567	3402
143	570	3390
144	573	3380
145	575	3368
146	579	3365
147	582	3355
148	586	3347
149	589	3337
150	591	3326
151	594	3314
152	597	3308
153	601	3302
154	604	3297
155	607	3287
156	610	3279
157	614	3275
158	617	3266
159	620	3257
160	623	3249
161	626	3240
162	629	3231
163	632	3225
164	635	3218
165	638	3209
166	641	3199
167	644	3190
168	648	3187
169	650	3177
170	653	3168
171	657	3164
172	660	3155
173	663	3148
174	665	3139
175	669	3134
176	672	3127
177	675	3121
178	679	3114
179	682	3108
180	685	3099
181	687	3092
182	690	3083
183	694	3077
184	697	3071
185	699	3062
186	702	3055
187	705	3047
188	708	3039
189	711	3032
190	714	3024
191	717	3018
192	720	3011
193	722	3003
194	725	2995
195	729	2992
196	732	2984
197	735	2977
198	737	2970
199	740	2962
200	743	2955
201	746	2949
202	749	2942
203	752	2936
204	755	2928
205	758	2922
206	761	2916
207	763	2908
208	766	2901
209	769	2896
210	772	2889
211	775	2882
212	779	2878
213	782	2872
214	784	2865
215	787	2858
216	790	2852
217	794	2850
218	798	2847
219	801	2840
220	804	2834
221	807	2828
222	810	2822
223	812	2816
224	815	2810
225	818	2804
226	821	2798
227	824	2793
228	828	2788
229	831	2784
230	834	2777
231	837	2771
232	840	2765
233	843	2760
234	845	2753
235	848	2747
236	851	2739
237	854	2734
238	856	2727
239	860	2724
240	863	2718
241	866	2712
242	869	2708
243	872	2702
244	875	2697
245	878	2691
246	880	2685
247	883	2679
248	886	2674
249	889	2668
250	892	2663
251	895	2657
252	897	2650
253	900	2645
254	903	2638
255	905	2632
256	908	2627
257	911	2622
258	914	2617
259	917	2611
260	920	2606
261	924	2602
262	927	2597
263	930	2592
264	932	2586
265	935	2582
266	938	2576
267	941	2572
268	944	2567
269	947	2562
270	950	2557
271	953	2552
272	957	2549
273	960	2545
274	963	2541
275	966	2536
276	969	2531
277	972	2525
278	975	2520
279	978	2515
280	981	2511
281	984	2506
282	987	2501
283	990	2495
284	993	2492
285	996	2487
286	1000	2484
287	1003	2481
288	1006	2475
289	1009	2471
290	1012	2466
291	1015	2461
292	1017	2456
293	1020	2450
294	1023	2446
295	1026	2440
296	1028	2435
297	1031	2430
298	1034	2425
299	1037	2420
300	1040	2415
301	1043	2410
302	1045	2405
303	1049	2402
304	1052	2398
305	1055	2394
306	1058	2389
307	1062	2387
308	1065	2382
309	1068	2379
310	1071	2374
311	1074	2369
312	1077	2365
313	1080	2360
314	1083	2356
315	1086	2351
316	1089	2347
317	1092	2343
318	1095	2338
319	1098	2334
320	1101	2330
321	1104	2325
322	1107	2321
323	1110	2316
324	1113	2311
325	1116	2307
326	1118	2302
327	1121	2298
328	1124	2293
329	1127	2289
330	1130	2285
331	1133	2280
332	1136	2276
333	1139	2272
334	1142	2268
335	1145	2263
336	1148	2260
337	1151	2255
338	1154	2251
339	1157	2246
340	1160	2243
341	1164	2240
342	1167	2235
343	1171	2233
344	1174	2229
345	1177	2226
346	1181	2222
347	1184	2218
348	1187	2214
349	1190	2210
350	1192	2205
351	1195	2200
352	1198	2196
353	1201	2192
354	1204	2187
355	1206	2182
356	1209	2178
357	1212	2174
358	1215	2169
359	1218	2165
360	1220	2161
361	1224	2158
362	1227	2153
363	1230	2149
364	1232	2144
365	1236	2141
366	1238	2136
367	1241	2132
368	1244	2128
369	1247	2124
370	1250	2120
371	1253	2116
372	1256	2112
373	1259	2107
374	1262	2103
375	1265	2100
376	1268	2095
377	1271	2091
378	1273	2087
379	1276	2083
380	1279	2078
381	1282	2075
382	1285	2070
383	1288	2066
384	1290	2061
385	1293	2057
386	1296	2053
387	1298	2048
388	1301	2044
389	1305	2041
390	1307	2036
391	1310	2032
392	1313	2029
393	1316	2024
394	1319	2020
395	1321	2016
396	1324	2012
397	1327	2008
398	1330	2003
399	1333	1999
400	1336	1995
401	1339	1992
402	1342	1988
403	1345	1984
404	1347	1980
405	1350	1976
406	1353	1972
407	1356	1968
408	1359	1964
409	1362	1960
410	1364	1956
411	1367	1952
412	1370	1948
413	1374	1945
414	1377	1941
415	1379	1936
416	1382	1932
417	1385	1929
418	1388	1925
419	1391	1921
420	1394	1917
421	1397	1913
422	1399	1909
423	1402	1905
424	1405	1901
425	1408	1898
426	1411	1893
427	1414	1890
428	1417	1887
429	1420	1883
430	1423	1879
431	1426	1875
432	1429	1871
433	1432	1867
434	1435	1864
435	1438	1860
436	1441	1857
437	1444	1853
438	1447	1849
439	1450	1846
440	1453	1842
441	1456	1838
442	1459	1834
443	1462	1831
444	1465	1827
445	1468	1823
446	1471	1820
447	1473	1816
448	1476	1812
449	1480	1809
450	1483	1806
451	1487	1803
452	1489	1799
453	1492	1794
454	1495	1791
455	1498	1787
456	1501	1784
457	1504	1780
458	1507	1776
459	1510	1773
460	1513	1769
461	1516	1766
462	1519	1762
463	1522	1758
464	1525	1754
465	1527	1750
466	1530	1746
467	1534	1744
468	1537	1740
469	1540	1737
470	1543	1733
471	1546	1729
472	1549	1726
473	1552	1722
474	1555	1718
475	1558	1715
476	1561	1711
477	1563	1707
478	1566	1703
479	1569	1700
480	1572	1696
481	1575	1692
482	1577	1688
483	1580	1684
484	1583	1681
485	1587	1678
486	1590	1675
487	1593	1672
488	1598	1670
489	1603	1669
490	1607	1666
491	1610	1663
492	1613	1659
493	1617	1656
494	1620	1652
495	1623	1649
496	1626	1646
497	1629	1642
498	1633	1639
499	1635	1635
500	1639	1632
501	1642	1628
502	1644	1625
503	1648	1622
504	1651	1618
505	1655	1616
506	1658	1612
507	1661	1608
508	1663	1605
509	1666	1601
510	1669	1597
511	1672	1594
512	1675	1590
513	1678	1586
514	1681	1583
515	1684	1580
516	1687	1576
517	1690	1572
518	1693	1569
519	1696	1565
520	1699	1562
521	1701	1558
522	1704	1554
523	1707	1551
524	1710	1547
525	1713	1543
